Epoch,train_Loss,val_Loss,time,Ro,qMax
0,0.012647104290369538,0.0075762320766749585,2.416121482849121,0.019999999552965164,1.3949999809265137
100,0.005018066373632008,0.005427061660894648,176.46006846427917,0.022601060569286346,1.2951005697250366
200,0.005018033481314494,0.005430379119769376,173.02896809577942,0.02260083518922329,1.2943109273910522
300,0.005018033422895425,0.005430335036446998,171.28267693519592,0.022601081058382988,1.2943150997161865
400,0.005018033426095695,0.005430335236703083,181.43918824195862,0.02260107919573784,1.2943150997161865
500,0.005018033438114708,0.005430335436959728,178.78523468971252,0.02260107733309269,1.2943150997161865
600,0.005018033434322908,0.005430335236703083,219.35680222511292,0.02260107919573784,1.2943150997161865
700,0.005018033429636115,0.005430335036446998,270.7330114841461,0.022601081058382988,1.2943150997161865
800,0.005018033444848403,0.005430334310814121,252.34221982955933,0.022601082921028137,1.294315218925476
900,0.005018033438271515,0.0054303347113273245,211.53502011299133,0.02260107919573784,1.294315218925476
1000,0.005018033432524704,0.005430334511070443,226.56164455413818,0.022601081058382988,1.294315218925476
